 	String	Position	Cu rods	length from top of string	U(pper) or L(ower) row on HV connector	min hv cable length	HV cable length	LMFE min cable length	selected LMFE cable length	HV Flange	LMFE	CC4-Channel	CC4	CC4 Position	Flange	HE Addr	RPi	HE Cable	Flashcam	Flashcam Channel #	HV Feedthrough	HV Flange	HV Filter	HV Filter Channel (0 left -> 7 right)	HV Filter Insulators	HV Filter Pulser	HV Module	HV Channel	Mass	lost mass	Resistance during assembly (Ohm)	Comment		Check HV Flange -> Birdsnest (24.1.25)	Check HV Birdsnest -> Det (25.1.25)	HV OK	CC4 & LMFE OK						HV  length	actual #	remaining #		Cable Tail	Flange
String 1																																																
BF862	---	---	---	---	---	---	---	---	---	B.2.8	---	0	A4	Left	S3	01		15	1G4-1		B.2.8	Y	---	---	---	---	---	---															400	1	-2		A1	S9
BF862	---	---	---	---	---	---	---	---	---	B.2.9	---	1	A4	Left	S3	01		15	1G4-2		B.2.9	Y	---	---	---	---	---	---															420	1	1		A2	S7
BF862	---	---	---	---	---	---	---	---	---	B.3.0	---	2	A4	Left	S3	01		15	1G4-3		B.3.0	Y	---	---	---	---	---	---															430	6	6		A3	S4
BF862	---	---	---	---	---	---	---	---	---	B.3.1	---	3	A4	Left	S3	01		15	1G4-4		B.3.1	Y	---	---	---	---	---	---															460	2	2		A4	S3
BF862	---	---	---	---	---	---	---	---	---	B.3.2	---	4	A4	Left	S3	01		15	1G4-5		B.3.2	Y	---	---	---	---	---	---															470	1	1		A5	S1
BF862	---	---	---	---	---	---	---	---	---	B.3.3	---	5	A4	Left	S3	01		15	1G4-0		B.3.3	Y	---	---	---	---	---	---															480	6	6		B1	S8
BF862	---	---	---	---	---	---	---	---	---	B.3.4	---	6	A4	Left	S3	01		15	1G5-1		B.3.4	Y	---	---	---	---	---	---															490	2	2		B2	S6
BF862	---	---	---	---	---	---	---	---	---	B.3.5	---	---	---	---	---	---	---	---	1G5-2		B.3.5	Y	---	---	---	---	---	---															500	1	-1		B3	S5
BF862	---	---	---	---	---	---	---	---	---	B.3.6	---	---	---	---	---	---	---	---	1G5-3		B.3.6	Y	---	---	---	---	---	---															510	1	1		B4	S2
BF862	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	1G5-4		---	---	---	---	---	---	---	---															540	3	3		B5	S0
BF862	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	1G5-5		---	---	---	---	---	---	---	---															550	1	-4		C1	L9
BF862	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	1G6-0		---	---	---	---	---	---	---	---															580	4	4		C2	L7
BF862	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	1G6-1		---	---	---	---	---	---	---	---															590	3	3		C3	L5
BF862	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	1G6-2		---	---	---	---	---	---	---	---															600	1	-1		C4	L3
String 2																																											610	2	2		C5	L1
																																											620	2	2		D1	L8
																																											690	3	3		D4	L2
String 3																														8583.7													700	1	-2		D5	L0
P00538A	3	1	75	75	L	405	450	515	590	D.2.2	1	0	A5	Right	S1	00	1	1	0G1-0		D.2.2	X	id-008	4	N	N	0	0	1037.9					OK	OK	OK	OK						710	1	1		E1	R9
P00573A	3	2	75	150	L	480	550	590	740	D.2.3	29	1	A5	Right	S1	00	1	1	0G1-1		D.2.3	X	id-008	5	N	N	0	1	1051.7					OK	OK	OK	OK						720	1	1		E2	R7
